,Project Name,Region,Sector,Current Status,Implementing Agency,Project URL,Project Description,Project Cost,Procurement Mode,PPP Structure,Private Proponent,Status,Cooperation Period,,Indicative Cost,Private Proponen,Private Propoent,Original Proponent,Project Proponent,Private Proponent(s),https://www.dpwh.gov.ph/dpwh/PPP/projs/tr4,Private Proponents,Other Implementing Agencies website URL,Concession Period,Private Proponent:,DOTr Website,Implemention Mode
173,Land Titling Computerization Project (LTCP),REGION I - ILOCOSREGION II - CAGAYAN VALLEYREGION III - CENTRAL LUZONREGION IV-A - CALABARZONREGION IV-B - MIMAROPAREGION V - BICOLREGION VI - WESTERN VISAYASREGION VII - CENTRAL VISAYASREGION VIII - EASTERN VISAYASREGION IX - ZAMBOANGA PENINSULAREGION X - NORTHERN MINDANAOREGION XI - DAVAOREGION XII - SOCCSKSARGENREGION XIII - CARAGAARMM REGION - AUTONOMOUS REGION IN MUSLIM MINDANAOCAR REGION - CORDILLERA ADMINISTRATIVE REGIONNATIONAL CAPITAL REGION,Information Technology,"Operational,Awarded",Land Registration Authority (LRA),https://ppp.gov.ph/ppp_projects/land-titling-computerization-project-ltcp/,,Php 3.48 Billion,Solicited,Build-Own-Operate (BOO),Land Registration Systems (LARES) Inc.,Operational,10 years,,,,,,,,,,,,,,
174,Cauayan Mega Market,REGION II - CAGAYAN VALLEY,Agriculture/Food Security,"Under Pre-Construction,Awarded",Local Government of Cauayan City,https://ppp.gov.ph/ppp_projects/cauayan-mega-market/,,Php 300.00M,Unsolicited,Build-Own-Operate,Ropali Realty Management and Development Corporation (RRMDC),Pre-construction,25 years,,,,,,,,,,,,,,
175,Rehabilitation and Operation of the Cabanatuan City Slaughterhouse Project,REGION III - CENTRAL LUZON,Agriculture/Food Security,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/rehabilitation-and-operation-of-the-cabanatuan-city-slaughterhouse-project/,,PHP 34.33 Million,Solicited,Rehabilitate-Operate-Transfer (ROT),,Operational,30 years,,,,,,Capital V for Ventures,,,,,,,,
176,Butuan City Slaughterhouse Project,REGION XIII - CARAGA,Agriculture/Food Security,"Operational,Awarded",Local Government of Butuan City,https://ppp.gov.ph/ppp_projects/butuan-city-slaughterhouse-project/,,,Unsolicited,Rehabilitate-Operate-Maintain-Manage (ROMM),"De Oro Ajecc, Inc.",Operational,25 years,,,,,,,,,,,,,,
177,Talisay City Hall Building Project,REGION VI - WESTERN VISAYAS,Property Development,"Completed/Concluded,Awarded",City Government of Talisay (Negros Occidental),https://ppp.gov.ph/ppp_projects/talisay-city-hall-building-project/,,PHP 155.95 Million,Unsolicited,Build-Transfer (BT),"Consortium of: Sigma Construction and Supply F.L. Jurilla & Associates Principal Management Group, Inc (PMGI)",Concluded,1 year,,,,,,,,,,,,,,
178,Tanauan City Public Market Redevelopment Project,REGION IV-A - CALABARZON,Agriculture/Food Security,"Operational,Awarded",Local Government of Tanauan City (Batangas),https://ppp.gov.ph/ppp_projects/tanauan-public-market/,,-,Solicited,Design-Build-Transfer-Operate (DBTO),,Operational,25 Years (2016-2041),,,,,,Guru Property Development and Management Corporation,,,,,,,,
179,"Bunker-Fired Diesel Generator Power Station Project (Pinamucan, Batangas Diesel Power Plant)",REGION IV-A - CALABARZON,Power,"Completed/Concluded,Awarded",National Power Corporation (NPC),https://ppp.gov.ph/ppp_projects/bunker-fired-diesel-generator-power-station-project-pinamucan-batangas-diesel-power-plant/,,USD 120.00 Million,Unsolicited,Build-Operate-Transfer (BOT),Enron Power Development Corporation,Concluded,10 years,,,,,,,,,,,,,,
180,Engineering Island Power Barge Project,NATIONAL CAPITAL REGION,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/engineering-island-power-barge-project/,,Php 1.127 Billion (USD 30.00 Million),Solicited,Build-Own-Operate (BOO),Sabah Shipyard SDN. BHD (Malaysia),Concluded,5 years,,,,,,,,,,,,,,
181,Cavite EPZA Diesel Plant Project,REGION IV-A - CALABARZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/cavite-epza-diesel-plant-project/,,USD 22.00 Million,Solicited,Build-Operate-Transfer (BOT),"Magellan Cogeneration, Inc. (Philippines)",Concluded,10 years,,,,,,,,,,,,,,
182,Subic Water and Sewerage Project,REGION III - CENTRAL LUZON,Water,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/subic-water-and-sewerage-project/,,USD 120 Million,Solicited,Joint Venture (JV) Agreement,Subic Bay Water and Sewerage Company Inc.,Operational,25 years (1997 - 2022),,,,,,,,,,,,,,
183,"Subic, Zambales Diesel Power Plant II Project",REGION III - CENTRAL LUZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/subic-zambales-diesel-power-plant-ii-project/,,USD 120.00 Million,Solicited,Build-Operate-Transfer (BOT),Subic Bay Power Corporation,Concluded,15 years,,,,,,,,,,,,,,
184,Bakun A/B and C Hydroelectric Power Plant,CAR REGION - CORDILLERA ADMINISTRATIVE REGION,Power,"Operational,Awarded",National Power Corporation (NPC),https://ppp.gov.ph/ppp_projects/bakun-a-b-and-c-hydroelectric-power-plant/,,US$ 83.00 Million,Solicited,Build-Operate-Transfer (BOT,Luzon Hydro Corporation,Operational,25 years,,,,,,,,,,,,,,
185,Mandaluyong Marketplace,NATIONAL CAPITAL REGION,Agriculture/Food Security,"Operational,Awarded",Local Government of Mandaluyong City,https://ppp.gov.ph/ppp_projects/mandaluyong-marketplace/,,US$ 23.00 Million,Solicited,Build-Operate-and-Transfer (BOT) and Build-Transfer (BT),Macro Funders and Development Corporation,Operational,40 Years (1994-2034),,,,,,,,,,,,,,
186,Pagbilao Coal-Fired Power Plant Project,REGION IV-A - CALABARZON,Power,"Operational,Awarded",National Power Corporation (NPC),https://ppp.gov.ph/ppp_projects/pagbilao-coal-fired-power-plant-project/,,USD 888.00M,Unsolicited,Build-Operate-Transfer (BOT),"Marubeni Corp., Tokyo Electric Power Corp. & TeaM Energy",Operational,30 Years,,,,,,,,,,,,,,
187,Puerto Galera Sewerage and Wastewater Treatment Plant Project,,Water & Sanitation,"Under Pre-Construction,Awarded",Local Government of Puerto Galera (Mindoro Oriental),https://ppp.gov.ph/ppp_projects/puerto-galera-sewerage-and-wastewater-treatment-plant-project/,,-,,,,Under Pre-Construction,,,,,,,"JL Business & Technology Consultancy, Inc.",,,,,25 Years,,,
188,"Subic, Zambales Diesel Power Plant I Project",REGION III - CENTRAL LUZON,Power,"Completed/Concluded,Awarded",National Power Corporation (NPC),https://ppp.gov.ph/ppp_projects/subic-zambales-diesel-power-plant-i-project/,,-,-,-,Enron Power Corporation (Enron I),Concluded,,,,,,,,,,,,,,,
189,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Improvement, Expansion, Operation and Maintenance of the Water Supply System of Tarlac City.",REGION III - CENTRAL LUZON,Water & Sanitation,"Operational,Awarded",Tarlac City Water District,https://ppp.gov.ph/ppp_projects/water-supply-system-tarlac-city/,,For validation of project cost,Unsolicited,Joint Venture,,Operational,25 Years,,,,,,,,,,,,Prime Water Infrastructure Corporation,,
190,Light Rail Transit Line No. 3 (MRT 3),NATIONAL CAPITAL REGION,"Transportation,Rail","Operational,Awarded",,https://ppp.gov.ph/ppp_projects/light-rail-transit-line-no-3-mrt-3/,,US$ 655.00 Million,Solicited,Build-Lease-Transfer,Metro Rail Transit Corporation Limited,Operational,25 years,,,,,,,,,,,,,,
191,Bataan EPZA Diesel Plant,REGION III - CENTRAL LUZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/bataan-epza-diesel-plant/,,USD 31.00 Million,Solicited,Build-Operate-Transfer (BOT),"Edison Global Electric, Ltd.",Concluded,10 years,,,,,,,,,,,,,,
192,Clark Air Base Diesel Plant,REGION III - CENTRAL LUZON,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/clark-air-base-diesel-plant/,,USD 4.50 Million,Solicited,Rehabilitate-Operate-Maintain (ROM),"Electrobus Consolidated, Inc.",Concluded,7 Years,,,,,,,,,,,,,,
193,"Manila-North Expressway (NLEX) Project including NLEX North Harbor Link (Segments 8.1, 8.2, 9, and 10)",REGION III - CENTRAL LUZONNATIONAL CAPITAL REGION,Road,"Operational,Awarded",Philippine National Construction Corporation (PNCC) and Toll Regulatory Board (TRB),https://ppp.gov.ph/ppp_projects/manila-north-luzon-tollway-nlex/,,Php 26.020 Billion (NLEX North Harbor Link only),Unsolicited,Supplemental Toll Operation Agreement,First Philippine Infrastructure Development Corporation (FPIDC); Manila North Tollways Corporation (MNTC),Phase 1,30 years,,,,,,,,,,,,,,
194,"Rehabilitation of Municipal Slaughterhouse, Operation and Maintenance of the Whole Kalibo Meat Plant",REGION VI - WESTERN VISAYAS,Property Development,"Under Construction,Awarded",Local Government of Kalibo (Aklan),https://ppp.gov.ph/ppp_projects/kalibo-meat-plant/,,,Unsolicited,Joint Venture,"Philippine Slaughterhouse Management and Operations, Inc.",Under construction,28 years,,Php 30 Million,,,,,,,,,,,,
195,50 year Integrated Development Plan for Mactan Cebu International Airport (MCIA) Project,,"Transportation,Airport",For Approval of Relevant Government Bodies,Mactan Cebu International Airport Authority (MCIAA),https://ppp.gov.ph/ppp_projects/50-year-integrated-development-plan-for-mactan-cebu-international-airport-mcia-project/,,,,,,For approval of relevant government bodies,,,Php 199.41 Billion,,,,GMR-Megawide Consortium,,,,,,,,
196,MRT-11 Project,NATIONAL CAPITAL REGION,"Transportation,Rail",For Approval of Relevant Government Bodies,Department of Transportation,https://ppp.gov.ph/ppp_projects/mrt-11-project/,,,Unsolicited,,,For approval of relevant government bodies,,,Php 81.79 Billion,,,,"Aerorail Integrated Transport Services, Inc.",,,,,,,,
197,"Operations, Maintenance and Facility Upgrade of the Kalibo International Airport",REGION VI - WESTERN VISAYAS,"Transportation,Airport",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/om-and-facility-upgrade-of-kalibo-international-airport/,,,Unsolicited,,,For approval of relevant government bodies,,,Php 3.84 Billion,,,,Mega 7 Construction,,,,,,,,
198,"Davao International Airport Development, Operation, and Management",REGION XI - DAVAO,"Transportation,Airport",For Approval of Relevant Government Bodies,Civil Aviation Authority of the Philippines (CAAP),https://ppp.gov.ph/ppp_projects/davao-international-airport-development-operation-and-management/,,,Unsolicited,TBD,,For approval of relevant government bodies,,,Php 50.75 Billion,,,,Chelsea Logistics Holdings Corp,,,,,,,,
199,Cavite-Tagaytay-Batangas Expressway Project,REGION IV-A - CALABARZON,Road,For Approval of Relevant Government Bodies,Department of Public Works and Highways (DPWH),https://ppp.gov.ph/ppp_projects/cavite-tagaytay-batangas-expressway-project/,,,Unsolicited,,MPCALA Holdings Incorporated and Metro Pacific Tollways Corporation (MPTC),For approval of relevant government bodies,,,Php 25.18 Billion,,,,,,,,,,,,
200,Davao People Mover,REGION XI - DAVAO,"Transportation,Port",For Approval of Relevant Government Bodies,Department of Transportation (DOTr),https://ppp.gov.ph/ppp_projects/davao-people-mover/,,,Unsolicited,,Udenna Corporation,For approval of relevant government bodies,,,Php 41.77 Billion,,,,,,,,,,,,
201,Preservation and Development of Laguna de Bay Project,REGION IV-A - CALABARZONNATIONAL CAPITAL REGION,Property Development,For Approval of Relevant Government Bodies,Laguna Lake Development Authority (LLDA),https://ppp.gov.ph/ppp_projects/preservation-and-development-of-laguna-de-bay-project/,,,Unsolicited,,San Miguel Holdings Corp (SMHC) and Muhibbah Engineering Philippines Corp (MEPC),For approval of relevant government bodies,40 years,,Php 124.83 Billion,,,,,,,,,,,,
202,C5 MRT 10 Project,NATIONAL CAPITAL REGION,"Transportation,Rail",For Approval of Relevant Government Bodies,Department of Transportation (DOTr),https://ppp.gov.ph/ppp_projects/c5-mrt-10-project/,,,Unsolicited,,C5 Mass Transit Corporation Limited,For approval of relevant approving bodies,,,Php 112.26 Billion,,,,,,,,,,,,
203,Fort Bonifacio – Makati Skytrain Project,NATIONAL CAPITAL REGION,"Transportation,Rail",For Approval of Relevant Government Bodies,Department of Transportation (DOTr),https://ppp.gov.ph/ppp_projects/fort-bonifacio-makati-skytrain-project/,,,Unsolicited,TBD,"Infracorp Development, Inc.",For approval of relevant government bodies,,,Php 3.91 Billion,,,,,,,,,,,,
204,UP Philippine General Hospital (UP-PGH) Diliman Project,NATIONAL CAPITAL REGION,Hospitals & Healthcare,For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/pgh-diliman/,,,Solicited,TBD,,For approval of relevant government bodies,TBD,,Php 21.30 Billion,,,,,,,,,,,,
205,Central Luzon Link Expressway (CLLEX) Phase 1 O&M and Phase 2 Project,REGION III - CENTRAL LUZON,Road,Projects under Development,Department of Public Works and Highways (DPWH),https://ppp.gov.ph/ppp_projects/central-luzon-link-expressway-cllex-phase-1-om-and-phase-2/,,,Solicited Mode,TBD,,Development Stage - Undergoing Studies,TBD,,Php 12.61 Billion,,,,,,,,,,,,
206,Quezon City Integrated Solid Waste Management Facility Project,NATIONAL CAPITAL REGION,Solid Waste Management,Unsolicited Projects Under Competitive Challenge,Quezon City Government,https://ppp.gov.ph/ppp_projects/quezon-city-integrated-solid-waste-management-facility-project/,,PhP 22 Billion,Unsolicited,Joint Venture,,On-going challenge process,35 years,,,,,"Consortium composed of Metro Pacific Investments Corporation, Covanta Energy LLC, and Macquarie Capital Limited",,,,,,,,,
207,Baggao Level III Water Supply Project,REGION II - CAGAYAN VALLEY,Water,Projects under Procurement,Municipal Government of Baggao,https://ppp.gov.ph/ppp_projects/baggao-water-supply-project-2/,,,Solicited Mode; Two-Stage Public Bidding,Build-Operate-Transfer (BOT),,Procurement Stage - Under Evaluation for Reasonable Rate of Return (For Sole Bidder),25 years,,PhP 0.19 Billion,,,,,,,,,,,,
208,"Clark International Airport Expansion Project – Engineering, Procurement and Construction (EPC)",REGION III - CENTRAL LUZON,"Transportation,Airport","Operational,Awarded",,https://ppp.gov.ph/ppp_projects/clark-international-airport-project-engineering-procurement-and-construction/,,PHP 12.55 Billion,Solicited (Single-Stage Bidding Process),Build-and-Transfer (BT),"Megawide-GMR Construction Joint Venture, Inc.","100% complete as of September 20, 2020.  Operational.",None,,,,,,,,,,,,,,
209,Clark International Airport Expansion Project Operation and Maintenance,REGION III - CENTRAL LUZON,Airport,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/clark-international-airport-operations-and-maintenance-project/,,,Solicited,Build-Operate-Transfer (BOT),,"Handover of the O&M activities for the existing passenger terminal building held on August 16, 2019",25 years  (2019-2044),"Ongoing construction activities of fit-outs for the new passenger terminal building. O&M construction works is 84.53% completed as of August 31, 2021.",Php 5.61 Billion,,,,Luzon International Premiere Airport Development Corporation (LIPAD),,,,,,,,
210,New Manila International Airport (Bulacan International Airport),REGION III - CENTRAL LUZON,"Transportation,Airport","Under Pre-Construction,Awarded",,https://ppp.gov.ph/ppp_projects/new-manila-international-airport-project/,,,Unsolicited,Build-Operate-Transfer (BOT),San Miguel Aerocity Inc.,Ongoing pre-construction activities:,50 years,,PhP 735.60 Billion,,,,,,,,,,,,
211,San Ramon Newport Project,REGION IX - ZAMBOANGA PENINSULA,"Transportation,Port",For Approval of Relevant Government Bodies,Zamboanga City Special Economic Zone and Freeport Authority,https://ppp.gov.ph/ppp_projects/san-ramon-newport-project/,,,,Solicited,,Approval Stage - Under Evaluation by relevant Approving Body,TBD,,Php 11.31 Billion,,,,,,,,,,,,
212,East-West Rail Project,NATIONAL CAPITAL REGION,"Transportation,Rail",For Approval of Relevant Government Bodies,Philippine National Railways,https://ppp.gov.ph/ppp_projects/east-west-rail-project/,,Php 72.08 Billion,Unsolicited,TBD,East-West Rail Corporation and AlloyMTD,For approval of relevant government bodies,TBD,,,,,,,,,,,,,,
213,"Manila Bay Integrated Flood Control, Coastal Defense and Expressway Project",NATIONAL CAPITAL REGION,"Land,Road",For Approval of Relevant Government Bodies,Department of Public Works and Highways,https://ppp.gov.ph/ppp_projects/manila-bay-integrated-flood-control-coastal-defense-and-expressway-project/,,,Unsolicited,TBD,,For ICC-Technical Board deliberation/endorsement,TBD,,Php 536.03 Billion,,,,"Coastal Development Consortium (San Miguel Holdings Corporation and New San Jose Builders, Inc.)",,,,,,,,
214,MRT Line 7,REGION III - CENTRAL LUZONNATIONAL CAPITAL REGION,"Transportation,Rail","Under Construction,Awarded",,https://ppp.gov.ph/ppp_projects/mrt-line-7/,,"PHP 74,544.47 Million",Unsolicited,Build-Gradual Transfer-Operate and Maintain (BGTOM),"SMC-Mass Rail Transit 7, Inc","Ongoing construction activities. Total accomplishment of construction works is 55.25% complete of July 31, 2021. Civil works is 53.35% complete, rolling stocks and E&M systems is 56.54%",25 years,,,,,,,,,,,,,,
215,Metro Manila Skyway Stage 3 (MMSS3) Project,NATIONAL CAPITAL REGION,Road,"Under Construction,Awarded",Toll Regulatory Board,https://ppp.gov.ph/ppp_projects/skyway-stage-3/,,Php 37.43 Billion,Solicited,Supplemental Toll Operation Agreement,,"91.38% complete as of October 25, 2021 based on the latest As-Built quantities.",30 years,,,,,,Citra Central Expressway Corporation (CCEC),,,,,,,,
216,Civil Registry System – Information Technology Project (Phase II),REGION I - ILOCOSREGION II - CAGAYAN VALLEYREGION III - CENTRAL LUZONREGION IV-A - CALABARZONREGION IV-B - MIMAROPAREGION V - BICOLREGION VI - WESTERN VISAYASREGION VII - CENTRAL VISAYASREGION VIII - EASTERN VISAYASREGION IX - ZAMBOANGA PENINSULAREGION X - NORTHERN MINDANAOREGION XI - DAVAOREGION XII - SOCCSKSARGENREGION XIII - CARAGAARMM REGION - AUTONOMOUS REGION IN MUSLIM MINDANAOCAR REGION - CORDILLERA ADMINISTRATIVE REGIONNATIONAL CAPITAL REGIONCARAGA,Information Technology,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/civil-registry-system-information-technology-project-phase-ii/,,PhP 1.586 Billion,Solicited,Build-Transfer-Operate,Unisys Managed Services Corporation,"Central outlet operations officially transferred from Sta. Mesa, Manila location to the CRS Building on April 01, 2019. Ongoing preparation for the go-live of the 40 CRS outlets in November 2021.",12 Years (2016-2028),,,,,,,,,,,,,,
217,NLEx-SLEx Connector Road Project,NATIONAL CAPITAL REGION,Road,"Under Construction,Awarded",,https://ppp.gov.ph/ppp_projects/nlex-slex-connector-road/,,PhP 23.20 Billion,Unsolicited,Build-Operate-Transfer (BOT),Manila North Tollways Corporation,"Ongoing advanced works; 48.98% complete for Section 1 of the Caloocan and Manila Area only as of October 25, 2021",37 Years (2020 - 2057),,,,,,,,,,,,,,
218,Bulacan Bulk Water Supply Project,REGION III - CENTRAL LUZON,Water & Sanitation,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/bulacan-bulk-water-supply-project/,,PhP 24.41 Billion,Solicited,Build-Operate-and-Transfer (BOT),Luzon Clean Water Development Corporation (LCWDC),"Stages 1 and 2 operational since January 24, 2019 and April 25, 2019., respectively.",30 years (inclusive of construction),Compliance to Key Performance Indicators as of August 2021:,,,,,,,,,,,,,
219,Road Transport Information Technology (IT) Infrastructure Project (Phase II),NATIONAL CAPITAL REGION,Information Technology,Projects under Procurement,Department of Transportation (DOTr) and Land Transportation Franchising and Regulatory Board (LTFRB),https://ppp.gov.ph/ppp_projects/road-transport-it-infrastructure-project-phase-ii/,,,Solicited,Build-Transfer-and-Operate (BTO),,Procurement Stage - Under Evaluation for Reasonable Rate of Return (For Sole Bidder),11.5 years (inclusive of 1.5-year application development and installation period),,PhP 0.39 Billion,,,,,,,,,,,,
220,Unsolicited Proposal for the Port of Davao (Sasa),REGION XI - DAVAO,"Transportation,Port",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/davao-sasa-port/,,,Unsolicited,BOT,Chelsea Logistics Holdings Corp.,For approval of relevant government bodies,TBD,,Php19.89 Billion,,,,,,,,,,,,
221,LRT Line 1 Cavite Extension and Operation & Maintenance,REGION IV-A - CALABARZONNATIONAL CAPITAL REGION,"Transportation,Rail","Under Construction,Awarded",Department of Transportation (DOTr),https://ppp.gov.ph/ppp_projects/lrt-line-1-south-extension-and-operation-maintenance/,,PHP 64.915 Billion *,Solicited,Build-Transfer-and-Operate (BTO),Light Rail Manila Corporation,"EPCC Combined Works 69.9% complete as of September 30, 2021.",32 years (2014-2046) inclusive of construction,,,,,,,,,,,,,,
222,Cavite-Laguna Expressway (CALAX),REGION IV-A - CALABARZON,Road,"Under Construction,Awarded",Department of Public Works and Highways (DPWH),https://ppp.gov.ph/ppp_projects/cavite-laguna-expressway/,,PHP 35.43 Billion,Solicited,Build-Transfer-and-Operate (BTO),"MPCALA Holdings , Incorporated","Toll Operation Permit (TOP) was issued to MPCALA Holdings, Inc. on February 7, 2020, and toll collection commenced on February 11, 2020 for the first 10 kilometers of the Laguna Segment. Laguna Boulevard and Laguna Technopark Interchanges were opened to traffic on August 19, 2020.",35 Years (2015-2050),,,,,,,,,,,,,,
223,Mactan-Cebu International Airport Passenger Terminal Building,REGION VII - CENTRAL VISAYAS,"Transportation,Airport","Operational,Awarded",,https://ppp.gov.ph/ppp_projects/mactan-cebu-international-airport-passenger-terminal-building/,,PhP 17.52 Billion,Solicited,Build-Operate and Transfer (BOT),GMR Infrastructure and Megawide Consortium,"Construction 100% complete as of August 31, 2019. Terminal 2 commenced operations on June 30, 2018; Terminal 1 rehabilitation works completed on August 31, 2019",25 Years (2014-2039),"As of October 2021, in adherence to the Inter-Agency Task Force for the Management of Emerging Infectious Diseases (IATF) Resolution Nos. 114, 119, 128-A, 136, 142, 142-A, 143, 144-A, and 146-B, and in compliance with the local regulations and protocols of the local government of Cebu City, Cebu Province, Lapu-Lapu City, and Mandaue City, COVID-19 arrival protocols are being implemented in MCIA..",,,,,,,,,,,,,
224,Automatic Fare Collection System,NATIONAL CAPITAL REGION,"Transportation,Rail","Operational,Awarded",,https://ppp.gov.ph/ppp_projects/automatic-fare-collection-system/,,PHP 1.72 Billion,Solicited Mode,Build-Transfer-And-Operate (BTO) and Build-Own-And-Operate (BOO),"AF Payments, Inc. (consortium of Ayala and Metro Pacific Groups)","Operational since December 16, 2015.",10 years inclusive of 2 years development/delivery,Operations in three (3) existing lines are suspended due to enhanced community quarantine.,,,,,,,,,,,,,
225,PPP for School Infrastructure Project Phase II (PSIP II) – Package A,REGION I - ILOCOSREGION II - CAGAYAN VALLEYREGION III - CENTRAL LUZONCAR REGION - CORDILLERA ADMINISTRATIVE REGION,Education,"Under Construction,Awarded",,https://ppp.gov.ph/ppp_projects/psip-phase-ii-package-a/,,"Php 2,258.18 Million",Solicited,Build-and-Transfer (BT),,"2,438 classrooms completed as of December 31, 2019  Ongoing defects liability period or warranty period for the constructed classrooms",None,,,,,,,,,Megawide Construction Corporation,,,,,
226,NAIA Expressway Project,NATIONAL CAPITAL REGION,Road,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/naia-expressway-project-phase-ii/,,PHP 17.93 Billion *,Solicited,Build-Transfer-and-Operate (BTO),Vertex Tollways Development Inc. (VTDI),"Phase 2A and Phase 2B operation commenced on September 22, 2016 and December 20, 2016, respectively. 100% compliant with KPIs as of October 2020.",30 years including construction,,,,,,,,,,,,,,
227,PPP for School Infrastructure Project Phase I (PSIP I) – Package A,REGION I - ILOCOS,Education,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/psip-phase-i-package-a/,,"Php 3,445.90 Million",Solicited,Build-Lease-and-Transfer (BLT),,"2,156 classrooms completed and delivered on December 4, 2015.",10 Years (Year varies per sub-project),,,,,,,,,"Bright Future Educational Facilities, Inc. (BF Corporation-Riverbanks Development Corporation)",,,,,
228,Daang Hari-SLEX Link Road (Muntinlupa-Cavite Expressway) Project,NATIONAL CAPITAL REGION,Road,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/daang-hari-slex-link-road-project/,,PhP 2.23 Billion *,Solicited,Build-Transfer-and-Operate (BTO),Ayala Corporation,"Operational since July 24, 2015",30 years,"The 1st Toll Rate Adjustment approved by TRB has been implemented on May 20, 2019",,,,,,,,,,,,,
229,South Integrated Transport System (ITS) Project (Taguig Integrated Terminal Exchange),NATIONAL CAPITAL REGION,"Transportation,Transport Terminal","Under Pre-Construction,Awarded",Department of Transportation (DOTr),https://ppp.gov.ph/ppp_projects/integrated-transport-system-project-its-southwest-terminal-project-2/,,,Solicited Mode; Two-stage bidding,Build-Transfer-and-Operate (BTO),ARCA South Integrated Terminal Incorporated (ASITI),Contract signed on 26 January 2016; and,35 years inclusive of construction period,Pre-construction activities are temporarily suspended due to enhanced community quarantine.,PHP 5.20 Billion *,,,,,,,,,,,,National
230,Southwest Integrated Transport System (ITS) Project (Parañaque Integrated Terminal Exchange),NATIONAL CAPITAL REGION,"Transportation,Transport Terminal","Operational,Awarded",,https://ppp.gov.ph/ppp_projects/integrated-transport-system-project-its-southwest-terminal-project-4/,,PHP 2.50 Billion,Solicited Mode; Single-Stage Bidding,Build-Transfer-and-Operate (BTO),"MWM Terminals, a consortium of Megawide Construction Corp. and WM Property Management Inc.","Operational since November 8, 2019",35 years inclusive of construction period,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,
